,Valid,Name,Affiliation,Email Domain,Citation Count,ID,Paper Count,h-index,i10-index,g-index,scoquality,recentness,score
44,+,Wei Zhang,The Chinese University of Hong Kong,ee.cuhk.edu.hk,726.0,id_-e-QkGMAAAAJ,333.0,6.0,4.0,10.0,0.006535490385558593,0.6745491857540051,34.054233806978175
45,+,Guido Kroemer,Paris Descartes University,igr.fr,77013.0,id_OU05Q_MAAAAJ,328.0,49.0,148.0,97.0,0.04311564187820584,0.6677307295114525,35.54231856948292
46,+,Zongpeng Li,"Department of Computer Science, University of Calgary",ucalgary.ca,3827.0,id_UnsBY_AAAAAJ,327.0,15.0,18.0,26.0,0.015775453232663647,0.6610870382629419,33.84312457478028
47,+,Saralees Nadarajah,"School of Mathematics, University of Manchester",manchester.ac.uk,3017.0,id_9XAVw3MAAAAJ,325.0,8.0,7.0,12.0,0.010302934974305148,0.6411996557659208,32.57512953701129
48,+,Lev Dudko,Lomonosov Moscow State University Skobeltsyn Institute of Nuclear Physics,sinp.msu.ru,16411.0,id_zEQGLhoAAAAJ,321.0,42.0,157.0,73.0,0.04217314850287689,0.6872248907718786,36.469901963737776
49,+,Lijun Liu,"IGPP/SIO, UCSD",ucsd.edu,3009.0,id_1TrdAXAAAAAJ,320.0,13.0,14.0,19.0,0.008965371235566188,0.6607811995233682,33.48732853794672
50,+,Stefano Covino,INAF / Brera Astronomical Observatory,Brera.INAF.it,7787.0,id_4bHPvm8AAAAJ,320.0,27.0,57.0,44.0,0.01899900056362125,0.6607811995233682,33.989010004349474
51,-,Elson Longo,"Professor Quï¿½mica, Universidade Estadual Paulista",,12043.0,id_OHmp6A4AAAAJ,319.0,21.0,65.0,29.0,0.025852286037793718,0.6277375082748577,32.67948971563258
52,+,De Baets Bernard,Ghent University,ugent.be,5949.0,id_-iWALUsAAAAJ,317.0,16.0,41.0,21.0,0.01986077202553909,0.6606501257778367,34.02554489016879
53,+,Marc Hooghe,University of Leuven,soc.kuleuven.be,2794.0,id_mdivB-0AAAAJ,316.0,10.0,12.0,20.0,0.007782498685147461,0.6738064345293261,34.07944666072368
54,+,Xue Liu,"Associate Professor, School of Computer Science, McGill University",cs.mcgill.ca,4450.0,id_rfLIRakAAAAJ,315.0,21.0,46.0,33.0,0.02215186777818401,0.6407627432808156,33.145730552949985
55,+,Peter Corcoran,"Vice Dean, Senior Lecturer Electronic Engineering, College of Engineering &amp; Informatics,  &hellip;",nuigalway.ie,2529.0,id_J6YWBB4AAAAJ,315.0,17.0,37.0,28.0,0.01649011428777204,0.6605627432808157,33.852642878429386
56,+,Taryana Suryana. M.Kom,"lecture, unikom",unikom.ac.id,255.0,id_FZ2UEgkAAAAJ,313.0,2.0,1.0,4.0,0.0003763516291997901,0.6868753607837946,34.36258562064973
57,+,Jean Poesen,"Professor of Geography, KU Leuven",ees.kuleuven.be,13086.0,id_qKRhXDMAAAAJ,312.0,16.0,33.0,21.0,0.012179840671852665,0.6670316695352839,33.96057551035682
58,+,&quot;P Corcoran&quot;,"Senior Lecturer, Electronic Engineering, NUI Galway",nuigalway.ie,3122.0,id_VWhRbdAAAAAJ,311.0,26.0,49.0,37.0,0.019062105675958462,0.6603879782867735,33.972504198136605
59,+,J. Geoffrey Chase,"Professor Mechanical Engineering, University of Canterbury",canterbury.ac.nz,2798.0,id_SOISrB0AAAAJ,300.0,13.0,21.0,20.0,0.012762925793608456,0.6533073745531577,33.303515017338306
60,+,Rui L. Reis,"Professor of Tissue Engineering, Regenerative Medicine and Stem Cells, 3B&#39;s, University of  &hellip;",dep.uminho.pt,9824.0,id_t_jZzN4AAAAJ,299.0,24.0,79.0,34.0,0.027157672261652367,0.6796636833046472,35.34106777831498
61,+,lixin Gao,"Professor of Electrical and Computer Engineering, Univ. of Massachusetts",ecs.umass.edu,9801.0,id_bOKmjf8AAAAJ,298.0,17.0,32.0,24.0,0.015048061755473768,0.6598199920561366,33.743402690580524
62,+,Huaxiong Li,"School of Management and Engineering, Nanjing University",nju.edu.cn,2631.0,id_y-NYC0sAAAAJ,295.0,12.0,17.0,20.0,0.01310516070833112,0.6662889183106051,33.96970395094681
63,+,Eric Horvitz,Microsoft Research,microsoft.com,19654.0,id_oYIbFv0AAAAJ,292.0,16.0,25.0,28.0,0.013243590759479944,0.6463578445650735,32.98007176622767
64,+,Wil van der Aalst,Eindhoven University of Technology,tue.nl,35730.0,id_aSZYyxIAAAAJ,292.0,33.0,91.0,51.0,0.031273216573950324,0.6397578445650735,33.55155305695119
65,+,Li-Chun Wang,"Professor of Electrical Engineering, National Chiao Tun University",g2.nctu.edu.tw,6862.0,id_dtD-PIAAAAAJ,292.0,17.0,37.0,42.0,0.019521255013412824,0.6529578445650734,33.623954978924324
66,+,Eric Horvitz,Microsoft Research,microsoft.com,19654.0,id_V4OPEAgAAAAJ,292.0,16.0,25.0,28.0,0.013243590759479944,0.6463578445650735,32.98007176622767
67,+,Bagher Larijani,"Professor of Endocrinology, Tehran University of Medical Sciences",tums.ac.ir,4178.0,id_h7L9CvgAAAAJ,291.0,19.0,44.0,28.0,0.0186420766428378,0.652914153316563,33.57781149797004
68,+,Zhengyou Zhang,Principal Researcher/Research Manager,microsoft.com,19587.0,id_Ll-b-IwAAAAJ,290.0,18.0,58.0,23.0,0.02749358367428559,0.6462704620680524,33.68820228711689
69,+,JP Raskin,Universite catholique de Louvain,uclouvain.be,2600.0,id_4MMmRMoAAAAJ,289.0,9.0,9.0,11.0,0.00845164500931976,0.6528267708195419,33.063920791443074
70,+,Peng Liu,"Professor of Information Science, Penn State University  ",ist.psu.edu,2736.0,id_qVOHi9cAAAAJ,288.0,13.0,24.0,18.0,0.016547693268118863,0.6527830795710313,33.46653864195751
