,name,ID,score,rank
84,Matthew Hirschey,id_OLG9E-sAAAAJ,36.121741994475286,85
85,Muhammad Salman,id_joXwsPIAAAAJ,36.12172665908284,86
86,ï¿½mer Bulakci,id_KZk2nYcAAAAJ,36.12141489385481,87
87,Anatol Kreitzer,id_FSAQ3bAAAAAJ,36.11489504456536,88
88,Woo-Tae Park,id_iJW63VIAAAAJ,36.11472464866681,89
89,francesco navarria,id_DR6Ccx8AAAAJ,36.11451496185493,90
90,"Li, Yi",id_gGg2Dp0AAAAJ,36.11445975776351,91
91,S Narendar,id_-NCwYSUAAAAJ,36.11384808593122,92
92,Wayne Hall,id_2iChS8UAAAAJ,36.113719549813574,93
93,Frederick M. Cohan,id_OH5OPd4AAAAJ,36.112739224378295,94
94,Aybike Birerdinc,id_i4FbIEcAAAAJ,36.1114249887439,95
95,Takuya Kitagawa,id_LA_uaB8AAAAJ,36.108035952400975,96
96,Gleb Beliakov,id__plRpWEAAAAJ,36.107656376404826,97
97,Donald C. Cooper,id_X7a4M6AAAAAJ,36.10494984282396,98
98,Martin Becke,id_AusHCVIAAAAJ,36.10474973952757,99
99,William Lee,id_ODOIP3wAAAAJ,36.102494736843155,100
